dataset_name,suite_name,traj_name,config_name,scheduler_kind,num_steps,cfg_weight,tts_budget,tts_topk,tts_verifier,latency_ms,latency_std_ms,mse_vs_baseline,verifier_score_mean,diversity,path_length_mean,endpoint_norm_mean,forward_progress_mean,lateral_abs_mean,smoothness_mean
go_stanford,medium,sim2hF_0_0,ddim10_cfg0.0_tts16,ddim,10,0.0,16,4,heuristic,64.73023200002596,0.4901868168661323,0.14231397211551666,10.196102142333984,0.3555527627468109,8.924781799316406,10.18305778503418,10.115812301635742,0.8875465393066406,0.056454967707395554
go_stanford,medium,sim2hF_0_0,ddim10_cfg0.0_tts32,ddim,10,0.0,32,4,heuristic,124.16382599997178,5.714012473886941,0.25950101017951965,10.66545581817627,0.1610168218612671,9.12493896484375,10.431221008300781,10.418665885925293,0.42360353469848633,0.033713895827531815
go_stanford,medium,sim2hF_0_0,ddim10_cfg0.5_tts0,ddim,10,0.5,0,0,heuristic,55.64618333335147,0.07509487387498882,0.004182255826890469,8.948604583740234,0.5947640538215637,8.241215705871582,9.345730781555176,9.145318031311035,1.6635326147079468,0.07721610367298126
go_stanford,medium,sim2hF_0_0,ddim10_cfg0.5_tts8,ddim,10,0.5,8,4,heuristic,56.456855666624506,0.7151600376559067,0.10592500865459442,10.10739517211914,0.33396223187446594,8.802658081054688,10.05309772491455,9.99760913848877,0.8088746070861816,0.0457327775657177
go_stanford,medium,sim2hF_0_0,ddim10_cfg0.5_tts16,ddim,10,0.5,16,4,heuristic,111.90243066668397,1.6549173112687376,0.1939806044101715,10.482449531555176,0.19542813301086426,9.053812980651855,10.331225395202637,10.30734634399414,0.6254574656486511,0.03580019623041153
go_stanford,medium,sim2hF_0_0,ddim10_cfg0.5_tts32,ddim,10,0.5,32,4,heuristic,222.90174533331233,3.6168056992491042,0.2560383081436157,10.67625904083252,0.1767066866159439,9.137777328491211,10.429888725280762,10.418745040893555,0.3878357410430908,0.04156197980046272
go_stanford,medium,sim2hF_0_0,ddim10_cfg1.0_tts0,ddim,10,1.0,0,0,heuristic,55.778296333301114,0.7464851165035392,0.04102111607789993,9.379034996032715,0.6373909711837769,8.596251487731934,9.760638236999512,9.533299446105957,1.5485719442367554,0.06485192477703094
go_stanford,medium,sim2hF_0_0,ddim10_cfg1.0_tts8,ddim,10,1.0,8,4,heuristic,56.18058166669471,0.5835393575618402,0.09985580295324326,10.072030067443848,0.30060023069381714,8.788199424743652,10.018662452697754,9.977194786071777,0.8485327363014221,0.04842748865485191
go_stanford,medium,sim2hF_0_0,ddim10_cfg1.0_tts16,ddim,10,1.0,16,4,heuristic,112.09327666665558,0.6861068676177914,0.26101255416870117,10.676209449768066,0.137602299451828,9.14844036102295,10.446999549865723,10.432976722717285,0.42779242992401123,0.04478069022297859
go_stanford,medium,sim2hF_0_0,ddim10_cfg1.0_tts32,ddim,10,1.0,32,4,heuristic,230.68766599999435,8.742912223437406,0.29922816157341003,10.73629379272461,0.15155479311943054,9.198020935058594,10.507227897644043,10.494154930114746,0.43747660517692566,0.030442342162132263
go_stanford,medium,sim2hF_0_0,ddim10_cfg2.0_tts0,ddim,10,2.0,0,0,heuristic,59.810248333330186,1.6734304045694162,0.12983261048793793,9.48726749420166,0.5337587594985962,8.69082260131836,9.856064796447754,9.644561767578125,1.5562740564346313,0.06397682428359985
go_stanford,medium,sim2hF_0_0,ddim10_cfg2.0_tts8,ddim,10,2.0,8,4,heuristic,58.887582333341015,0.6292003813166533,0.21409088373184204,10.541049003601074,0.18500402569770813,9.086670875549316,10.367091178894043,10.339729309082031,0.5490936636924744,0.03880465030670166
go_stanford,medium,sim2hF_0_0,ddim10_cfg2.0_tts16,ddim,10,2.0,16,4,heuristic,113.9972856666418,1.2098561040679485,0.31130486726760864,10.698954582214355,0.1751970499753952,9.262537956237793,10.57514762878418,10.546939849853516,0.6931617259979248,0.03315640613436699
go_stanford,medium,sim2hF_0_0,ddim10_cfg2.0_tts32,ddim,10,2.0,32,4,heuristic,228.1001409999893,2.122591746747865,0.3558841347694397,10.888141632080078,0.13439543545246124,9.364035606384277,10.675658226013184,10.66342830657959,0.4825681447982788,0.03607183322310448
go_stanford,medium,sim2hF_0_0,ddim5_cfg0.0_tts0,ddim,5,0.0,0,0,heuristic,15.647915333336945,0.5105399967946889,0.0353788360953331,9.130677223205566,0.5565009117126465,8.338542938232422,9.45600414276123,9.270344734191895,1.4993767738342285,0.07909365743398666
go_stanford,medium,sim2hF_0_0,ddim5_cfg0.0_tts8,ddim,5,0.0,8,4,heuristic,15.598259333349537,0.143811327053866,0.11026981472969055,9.712538719177246,0.3607218861579895,8.429072380065918,9.613085746765137,9.570416450500488,0.7143101096153259,0.0467110238969326
go_stanford,medium,sim2hF_0_0,ddim5_cfg0.0_tts16,ddim,5,0.0,16,4,heuristic,30.685514999997093,0.7456780791598598,0.17532852292060852,10.349664688110352,0.2553747296333313,8.910468101501465,10.17854118347168,10.158973693847656,0.5789614319801331,0.04345916211605072
go_stanford,medium,sim2hF_0_0,ddim5_cfg0.0_tts32,ddim,5,0.0,32,4,heuristic,60.578907999987074,0.9995473134794847,0.2729801535606384,10.684552192687988,0.15163950622081757,9.146517753601074,10.419830322265625,10.411026000976562,0.33627021312713623,0.0500473715364933
go_stanford,medium,sim2hF_0_0,ddim5_cfg0.5_tts0,ddim,5,0.5,0,0,heuristic,31.638405666664465,2.9495182183801774,0.0011808037525042892,9.258162498474121,0.6160410046577454,8.319661140441895,9.453845977783203,9.300138473510742,1.2283340692520142,0.06424541026353836
go_stanford,medium,sim2hF_0_0,ddim5_cfg0.5_tts8,ddim,5,0.5,8,4,heuristic,29.357418666677404,0.4374249258271022,0.09571194648742676,9.622918128967285,0.3963440954685211,8.508651733398438,9.700821876525879,9.61500358581543,1.0925318002700806,0.05876653268933296
go_stanford,medium,sim2hF_0_0,ddim5_cfg0.5_tts16,ddim,5,0.5,16,4,heuristic,59.53975999996904,3.736779059453158,0.23788923025131226,10.51794719696045,0.17861956357955933,9.043173789978027,10.338640213012695,10.320504188537598,0.5604924559593201,0.043617550283670425
go_stanford,medium,sim2hF_0_0,ddim5_cfg0.5_tts32,ddim,5,0.5,32,4,heuristic,123.89140533332466,1.1328683674719604,0.3229314088821411,10.667555809020996,0.2053280770778656,9.224609375,10.514568328857422,10.488676071166992,0.6097453832626343,0.044372301548719406
