config_name,scheduler_kind,num_steps,cfg_weight,tts_budget,tts_topk,tts_verifier,num_cases,latency_ms_mean,latency_ms_std,latency_ms_ci95,latency_std_ms_mean,latency_std_ms_std,latency_std_ms_ci95,mse_vs_baseline_mean,mse_vs_baseline_std,mse_vs_baseline_ci95,diversity_mean,diversity_std,diversity_ci95,path_length_mean_mean,path_length_mean_std,path_length_mean_ci95,endpoint_norm_mean_mean,endpoint_norm_mean_std,endpoint_norm_mean_ci95,forward_progress_mean_mean,forward_progress_mean_std,forward_progress_mean_ci95,lateral_abs_mean_mean,lateral_abs_mean_std,lateral_abs_mean_ci95,smoothness_mean_mean,smoothness_mean_std,smoothness_mean_ci95,verifier_score_mean_mean,verifier_score_mean_std,verifier_score_mean_ci95,rank_score,rank
ddim2_cfg1.0_tts16,ddim,2,1.0,16,4,heuristic,12,24.40763780553033,1.1480142975087027,0.6495502364261848,0.5424855137732084,0.23854768706129212,0.13497105991261163,0.2945484717686971,0.12764910931295478,0.0722242826711774,0.24009254450599352,0.047017997141655624,0.026602936240362092,9.016896565755209,0.18375431857609828,0.10396879318877326,10.279956102371216,0.20700072614695283,0.11712168646412341,10.23617442448934,0.2232696081616128,0.12632667300649,0.7438034117221832,0.263036743585439,0.14882704802149946,0.05479700459788243,0.007399751077661759,0.004186803311091755,10.366674979527792,0.2823983395783763,0.1597819022267933,8.747241789420375,11
ddim3_cfg1.0_tts8,ddim,3,1.0,8,4,heuristic,12,18.184989472220852,0.8958830985604492,0.5068935811539852,0.5810584549072209,0.618843175860897,0.3501434886860628,0.19303685054183006,0.0923832133762747,0.052270723649166934,0.30523766577243805,0.07131674049602596,0.040351244536645126,8.795582056045532,0.16969269910580975,0.09601268299808836,10.036875009536743,0.1895670526418188,0.10725765709479329,9.969354947408041,0.20884987769680838,0.11816794244630328,0.9109183847904205,0.3069174365986609,0.17365488734644224,0.05165425532807907,0.010908090762484647,0.006171833355304073,10.042242606480917,0.2829215568249627,0.16007794025259142,8.73353590082114,12
ddim2_cfg0.5_tts16,ddim,2,0.5,16,4,heuristic,12,24.965052333328686,1.7517746801473084,0.9911598314797667,1.0498395879113012,1.169923510466589,0.6619465406251741,0.2567358122517665,0.14661243006728883,0.08295379144657651,0.25414063533147174,0.06348905243350578,0.03592231308281725,8.971609195073446,0.12140542768374073,0.06869158722720357,10.235117197036743,0.1392622622707398,0.07879504251776853,10.195772250493368,0.14688168154515108,0.0831061348115355,0.6973157351215681,0.16019066628547043,0.09063640181555023,0.05193124804645777,0.0077480125878361256,0.00438385081020636,10.343242645263672,0.17473516456290822,0.09886572641134285,8.695669439327416,13
ddim3_cfg0.5_tts8,ddim,3,0.5,8,4,heuristic,12,18.320658805562413,0.9553812986826918,0.5405578569737226,0.6135436892845395,0.4718368668509902,0.26696683924820863,0.1375430536766847,0.07163282039401599,0.040530083574551304,0.3307577694455783,0.07765075235010563,0.04393504911666824,8.648889541625977,0.22759469390699244,0.12877382063746592,9.866215705871582,0.25751859531970567,0.14570486172258304,9.808773438135782,0.2625632907276518,0.14855916684930526,0.8283363208174706,0.21472809707001056,0.12149385815302777,0.05770836304873228,0.005591398270358182,0.00316363139060695,9.909526427586874,0.2846014872061375,0.1610284503452267,8.594166531114237,14
ddim5_cfg0.0_tts8,ddim,5,0.0,8,4,heuristic,12,15.98100897222644,0.9181331742462411,0.519482746596933,0.5404148589711862,0.42536253864315215,0.24067151266503037,0.11146404039269935,0.0718351171767638,0.04064454375448743,0.3616785754760106,0.08207540796832628,0.0464385337066743,8.547567208607992,0.14363810863411394,0.0812709106720785,9.73923373222351,0.1613112315744725,0.09127042131337514,9.666549523671469,0.16394085503467526,0.09275827084973824,0.9016178399324417,0.2510079078580653,0.1420210935071672,0.058616284281015396,0.010264266936786608,0.005807555733408166,9.741040547688803,0.1828334973169234,0.1034477895149503,8.54314038844164,15
ddim3_cfg2.0_tts16,ddim,3,2.0,16,4,heuristic,12,35.74133536110303,1.683942465563838,0.9527801430772616,0.7793559930651582,0.3939261552844814,0.22288470435844304,0.42104972153902054,0.18660567450551555,0.10558209967990967,0.19495381539066634,0.06833928032221051,0.03866658785244847,9.195075591405233,0.22848890590320797,0.129279768703459,10.49508253733317,0.2644802811938899,0.14964380631178745,10.453623056411743,0.2820493915595243,0.1595844662988283,0.7397285401821136,0.31715113993663685,0.17944515009588968,0.046728277734170355,0.01373000512125018,0.007768481709674157,10.587199608484903,0.35467809033665404,0.20067802111289904,8.400642057632727,16
ddim2_cfg2.0_tts0,ddim,2,2.0,0,0,heuristic,12,12.397938611122248,0.6141562394222504,0.347491604751826,0.6405569463455474,0.5212704584508951,0.2949365267170795,0.3419566924373309,0.2895760501320252,0.16384307428470143,0.5484399224321047,0.1282334748904585,0.07255491862218479,8.716990073521933,0.21335474331025217,0.12071681011339645,9.873946030934652,0.24356026153502006,0.1378071909099167,9.6176807085673,0.2710953310795921,0.15338662312735615,1.6940733740727107,0.5294756766874444,0.29957906597555817,0.08103353530168533,0.013265483106716582,0.007505653637741387,9.409029563268026,0.3845311959967516,0.21756900573012264,8.392703066790487,17
ddim2_cfg1.0_tts0,ddim,2,1.0,0,0,heuristic,12,12.239506083334264,0.48906140778695195,0.276712540727333,0.2941304129799849,0.1512806964662773,0.08559511181143928,0.17104382688800493,0.15409791564384842,0.08718910361696541,0.49869634211063385,0.09408441127214469,0.0532332669710298,8.449445247650146,0.2431284571212913,0.1375628745633032,9.617801348368326,0.29026802890617887,0.16423459813360194,9.45148197809855,0.3617634176801768,0.20468692244899692,1.31234472990036,0.41900228657445543,0.23707286128593397,0.07160443626344204,0.010753063264512074,0.00608411829097154,9.37991452217102,0.48263565963673505,0.273076831451546,8.369445353027194,18
ddim5_cfg2.0_tts8,ddim,5,2.0,8,4,heuristic,12,30.310709416672427,1.6143867905592042,0.9134253151434218,1.0335102798903353,0.7648792638546509,0.4327711839063646,0.3626422919332981,0.18259627793911556,0.10331357001674865,0.2566344154377778,0.07728311819032445,0.043727040509177535,9.007488171259562,0.27860068937781113,0.15763317934852067,10.272665023803711,0.3420120841885652,0.19351155349492563,10.18929918607076,0.4167841694573492,0.23581784338157166,1.0020540952682495,0.5541313668410875,0.31352933593587484,0.04804812495907148,0.010716316066276543,0.006063326606274157,10.230522950490316,0.5965538293484801,0.33753210368123815,8.31583756314939,19
ddim5_cfg0.0_tts16,ddim,5,0.0,16,4,heuristic,12,31.0378265000016,1.2588055009378845,0.7122362609273919,0.7295645008807159,0.31594618776279026,0.17876338422319735,0.20055149557689825,0.08508379833082401,0.04814069079257753,0.24064967160423598,0.04079538257705348,0.023082160610304485,8.814949989318848,0.19300740918867948,0.10920422205766282,10.064779996871948,0.21255024012804088,0.12026161958715913,10.034757375717163,0.21315178271110194,0.12060197434397327,0.633017877737681,0.10838130698079429,0.061322497225275344,0.046218066631505884,0.00980337417337396,0.005546781103604799,10.20592474937439,0.21807686802921977,0.12338860369148652,8.25437708351417,20
