config_name,scheduler,num_steps,guidance_scale,dataset_name,suite_name,traj_name,latency_ms,latency_std_ms,diversity,path_length_mean,endpoint_norm_mean,forward_progress_mean,lateral_abs_mean,smoothness_mean
ddpm10_w0.5,ddpm,10,0.5,go_stanford,medium,sim2hF_0_0,82.40723062510824,8.486787654388609,0.1764032542705536,7.163174152374268,8.131317138671875,8.115039825439453,0.4388153553009033,0.0674271434545517
ddpm10_w0.5,ddpm,10,0.5,go_stanford,medium,no14vc_16_1,81.2829017499439,5.328387994154701,0.15766389667987823,7.3394389152526855,8.30579948425293,8.17517375946045,1.437330961227417,0.04878455772995949
ddpm10_w0.5,ddpm,10,0.5,go_stanford,medium,no5vc_144_0,83.78166899990447,3.1853588720175763,0.20793145895004272,5.0644330978393555,5.92624568939209,5.881594181060791,0.6502206325531006,0.06900222599506378
ddpm10_w0.5,ddpm,10,0.5,go_stanford,medium,no31vcF_25_0,80.46598312512288,3.095706826479567,0.23666797578334808,8.28929328918457,8.431608200073242,6.831451416015625,4.898317813873291,0.25584977865219116
ddpm10_w0.5,ddpm,10,0.5,go_stanford,medium,sim4h_0_0,87.30329362487055,5.1616870004970465,0.139495849609375,9.444826126098633,10.524724960327148,10.026947975158691,3.1710915565490723,0.12276237457990646
ddpm10_w0.5,ddpm,10,0.5,go_stanford,medium,no4vcF_61_0,85.12345787494269,6.647647772350358,0.3597354590892792,9.054101943969727,9.99134635925293,8.468542098999023,5.221771240234375,0.11685594171285629
ddpm10_w0.5,ddpm,10,0.5,go_stanford,long,no9vc_56_0,84.09753237503992,4.28899573409125,0.503624677658081,8.441205024719238,8.581384658813477,3.3198585510253906,7.81815242767334,0.18198883533477783
ddpm10_w0.5,ddpm,10,0.5,go_stanford,long,no26vcF_20_0,92.73552162494525,9.843451599116388,0.38194411993026733,8.848304748535156,10.017769813537598,9.503523826599121,2.9595255851745605,0.0783536434173584
ddpm10_w0.5,ddpm,10,0.5,go_stanford,long,sim2hF_0_0,84.84270050013265,5.989195729907303,0.1865883469581604,7.585187911987305,8.724347114562988,8.713790893554688,0.3290634751319885,0.03824447840452194
ddpm10_w0.5,ddpm,10,0.5,go_stanford,long,no14vc_16_1,80.48357549995444,2.981355536877312,0.2544006109237671,6.763453960418701,7.655414581298828,7.355902671813965,2.0594305992126465,0.06445080041885376
ddpm10_w0.5,ddpm,10,0.5,go_stanford,long,no5vc_144_0,82.00307837500986,5.389862558919152,0.19563663005828857,7.518161296844482,8.645940780639648,8.63034725189209,0.4410940110683441,0.04394042491912842
ddpm10_w0.5,ddpm,10,0.5,go_stanford,long,no31vcF_25_0,84.30934712498583,3.102436927032595,0.23476947844028473,9.348662376403809,10.021209716796875,9.245490074157715,3.80074405670166,0.21221640706062317
ddpm10_w0.5,ddpm,10,0.5,go_stanford,long,sim4h_0_0,84.65304112496597,9.558142841648628,0.13174352049827576,8.871435165405273,9.937700271606445,9.80795669555664,1.5645582675933838,0.12349437177181244
ddpm10_w0.5,ddpm,10,0.5,go_stanford,long,no4vcF_61_0,82.76007774998106,4.080287075564075,0.37588077783584595,8.320497512817383,9.018627166748047,8.207935333251953,3.59330415725708,0.20127053558826447
ddpm10_w1.0,ddpm,10,1.0,go_stanford,short,no9vc_56_0,86.33633287490738,3.8593170305623277,0.18618842959403992,9.377279281616211,10.692732810974121,10.671151161193848,0.5279185771942139,0.04965546354651451
ddpm10_w1.0,ddpm,10,1.0,go_stanford,short,no26vcF_20_0,86.6580568750237,10.684036455969174,0.2075577974319458,8.58404541015625,9.76593017578125,9.205760955810547,3.21573805809021,0.09430726617574692
ddpm10_w1.0,ddpm,10,1.0,go_stanford,short,sim2hF_0_0,89.44291599999588,10.567581273212674,0.20151835680007935,7.328935623168945,8.15191650390625,7.817363739013672,2.2733917236328125,0.08209068328142166
ddpm10_w1.0,ddpm,10,1.0,go_stanford,short,no14vc_16_1,84.9557622502175,4.75524767767162,0.13255196809768677,6.842032432556152,7.848171234130859,7.831243515014648,0.46346771717071533,0.05999577045440674
ddpm10_w1.0,ddpm,10,1.0,go_stanford,short,no5vc_144_0,92.88888762495162,6.913569947529377,0.17682072520256042,4.531428337097168,4.92397403717041,4.504384517669678,1.9610118865966797,0.08174760639667511
ddpm10_w1.0,ddpm,10,1.0,go_stanford,short,no31vcF_25_0,88.83736287498323,7.083932848302468,0.5719292759895325,3.064497470855713,1.6289708614349365,0.2483925223350525,1.4332282543182373,0.21422210335731506
ddpm10_w1.0,ddpm,10,1.0,go_stanford,short,sim4h_0_0,89.90194687493158,4.448195976124449,0.14955411851406097,9.302425384521484,10.584348678588867,10.466085433959961,1.5149948596954346,0.05163871496915817
ddpm10_w1.0,ddpm,10,1.0,go_stanford,short,no4vcF_61_0,85.7184775000519,2.679236618612954,0.14748525619506836,9.464122772216797,10.785173416137695,10.705970764160156,1.2100454568862915,0.04752226546406746
ddpm10_w1.0,ddpm,10,1.0,go_stanford,medium,no9vc_56_0,90.11655737498359,11.725929181442366,0.3680068850517273,9.501049041748047,10.54345417022705,9.26988697052002,4.92099666595459,0.06941428780555725
ddpm10_w1.0,ddpm,10,1.0,go_stanford,medium,no26vcF_20_0,92.07749812492239,8.661524774992001,0.22673870623111725,9.249109268188477,10.3987398147583,9.77291488647461,3.510709285736084,0.06649905443191528
ddpm10_w1.0,ddpm,10,1.0,go_stanford,medium,sim2hF_0_0,84.91889887500292,5.172202362488117,0.17931942641735077,7.2493133544921875,8.223071098327637,8.206182479858398,0.4502667784690857,0.0683784931898117
ddpm10_w1.0,ddpm,10,1.0,go_stanford,medium,no14vc_16_1,90.81940950005674,15.884448083361326,0.1489911824464798,7.400125026702881,8.377937316894531,8.260648727416992,1.369910717010498,0.04790516570210457
ddpm10_w1.0,ddpm,10,1.0,go_stanford,medium,no5vc_144_0,90.8708568750285,6.703853211954867,0.19459432363510132,5.246179103851318,6.093284606933594,6.038642406463623,0.7596523761749268,0.06649185717105865
ddpm10_w1.0,ddpm,10,1.0,go_stanford,medium,no31vcF_25_0,89.66204212504181,7.930136496269711,0.23393851518630981,8.314491271972656,8.306004524230957,6.56516695022583,5.047736644744873,0.27223700284957886
ddpm10_w1.0,ddpm,10,1.0,go_stanford,medium,sim4h_0_0,94.76208387508223,8.674105693997054,0.13587474822998047,9.485658645629883,10.564855575561523,10.053679466247559,3.2207460403442383,0.12274522334337234
ddpm10_w1.0,ddpm,10,1.0,go_stanford,medium,no4vcF_61_0,80.99718737491912,3.7110613727371486,0.359124094247818,9.11323356628418,10.066579818725586,8.593796730041504,5.160536766052246,0.11532901227474213
ddpm10_w1.0,ddpm,10,1.0,go_stanford,long,no9vc_56_0,84.22503125007097,2.860340983466714,0.47343701124191284,8.454700469970703,8.587689399719238,3.237379789352417,7.867879867553711,0.18445998430252075
ddpm10_w1.0,ddpm,10,1.0,go_stanford,long,no26vcF_20_0,84.49857024999119,3.6465136007095644,0.3970138430595398,8.86632251739502,10.030157089233398,9.453536987304688,3.1319098472595215,0.08264623582363129
ddpm10_w1.0,ddpm,10,1.0,go_stanford,long,sim2hF_0_0,82.04086524995091,5.092446512083001,0.1825929582118988,7.687582969665527,8.82649040222168,8.810403823852539,0.43079710006713867,0.042872972786426544
ddpm10_w1.0,ddpm,10,1.0,go_stanford,long,no14vc_16_1,80.91269474999763,1.5860349701882444,0.25927895307540894,6.852489948272705,7.768258094787598,7.488698959350586,2.000101327896118,0.06631802022457123
