experiment,model_name,config_name,scheduler,num_steps,cfg_weight,tts_budget,dataset_name,suite_name,traj_name,latency_ms,dist_pred_mean,diversity,path_length_mean,endpoint_norm_mean,forward_progress_mean,lateral_abs_mean,smoothness_mean
encoder_x_ddim,efficientnet_b0,ddim3_cfg0_tts0,ddim,3,0.0,0,go_stanford,short,no4vcF_86_0,8.070922666623423,6.741989612579346,0.6246568560600281,7.690986633300781,8.568633079528809,8.15722942352295,2.2441372871398926,0.13503678143024445
encoder_x_ddim,efficientnet_b0,ddim3_cfg0_tts0,ddim,3,0.0,0,go_stanford,short,no5vcF_119_0,8.292798333362347,6.204920291900635,0.5678481459617615,7.512545108795166,8.494930267333984,8.276346206665039,1.3782320022583008,0.09603572636842728
encoder_x_ddim,efficientnet_b0,ddim3_cfg0_tts0,ddim,3,0.0,0,go_stanford,short,no5vcF_64_2,8.28940000004271,6.724134922027588,0.6092934608459473,8.192476272583008,9.105195045471191,8.664043426513672,2.4894821643829346,0.12837709486484528
encoder_x_ddim,efficientnet_b0,ddim3_cfg0_tts0,ddim,3,0.0,0,go_stanford,short,sim2hF_0_13,9.71358566660759,8.347677230834961,0.5691474676132202,8.107487678527832,8.93616008758545,8.306609153747559,2.8698253631591797,0.14178426563739777
encoder_x_ddim,efficientnet_b0,ddim3_cfg0_tts0,ddim,3,0.0,0,go_stanford,short,sim12hF_1_4,7.913095333454597,7.8149895668029785,0.47786104679107666,8.024151802062988,8.828580856323242,8.2841796875,2.7648603916168213,0.14079934358596802
encoder_x_ddim,efficientnet_b0,ddim3_cfg0_tts0,ddim,3,0.0,0,go_stanford,short,sim2hF_0_11,8.091537666738683,6.542974472045898,0.5451589822769165,7.666162967681885,8.629196166992188,8.30295467376709,2.0493428707122803,0.10429668426513672
encoder_x_ddim,efficientnet_b0,ddim3_cfg0_tts0,ddim,3,0.0,0,go_stanford,medium,no4vcF_86_0,9.518618333459017,5.022684097290039,0.7282692193984985,7.1856207847595215,8.038406372070312,7.616767883300781,2.240492582321167,0.11913668364286423
encoder_x_ddim,efficientnet_b0,ddim3_cfg0_tts0,ddim,3,0.0,0,go_stanford,medium,no5vcF_119_0,8.963801333417601,6.843746185302734,0.540042519569397,8.133515357971191,8.970369338989258,8.387236595153809,2.8761863708496094,0.14102999866008759
encoder_x_ddim,efficientnet_b0,ddim3_cfg0_tts0,ddim,3,0.0,0,go_stanford,medium,no5vcF_64_2,9.473448000032173,6.397066116333008,0.5192128419876099,8.079994201660156,8.955378532409668,8.479328155517578,2.5524191856384277,0.12723664939403534
encoder_x_ddim,efficientnet_b0,ddim3_cfg0_tts0,ddim,3,0.0,0,go_stanford,medium,sim2hF_0_13,8.58659966676593,8.128021240234375,0.6593833565711975,7.599597930908203,8.361870765686035,7.736091136932373,2.838756561279297,0.15020932257175446
encoder_x_ddim,efficientnet_b0,ddim3_cfg0_tts0,ddim,3,0.0,0,go_stanford,medium,sim12hF_1_4,8.296515333313437,7.355297565460205,0.539334237575531,8.15263843536377,9.119059562683105,8.762587547302246,2.153437376022339,0.11142126470804214
encoder_x_ddim,efficientnet_b0,ddim3_cfg0_tts0,ddim,3,0.0,0,go_stanford,medium,sim2hF_0_11,8.121082333370092,6.697145462036133,0.802847146987915,7.836435794830322,8.72171401977539,8.19007396697998,2.549100637435913,0.12884776294231415
encoder_x_ddim,efficientnet_b0,ddim5_cfg0_tts0,ddim,5,0.0,0,go_stanford,short,no4vcF_86_0,12.652790666834335,6.741989612579346,0.596688985824585,7.69696044921875,8.568220138549805,8.133910179138184,2.3268613815307617,0.13337448239326477
encoder_x_ddim,efficientnet_b0,ddim5_cfg0_tts0,ddim,5,0.0,0,go_stanford,short,no5vcF_119_0,13.294348333298936,6.204920291900635,0.5393982529640198,7.476848602294922,8.460987091064453,8.246407508850098,1.3906160593032837,0.09164547920227051
encoder_x_ddim,efficientnet_b0,ddim5_cfg0_tts0,ddim,5,0.0,0,go_stanford,short,no5vcF_64_2,12.871917666719431,6.724134922027588,0.564894437789917,8.180402755737305,9.07242202758789,8.604000091552734,2.6020476818084717,0.12991155683994293
encoder_x_ddim,efficientnet_b0,ddim5_cfg0_tts0,ddim,5,0.0,0,go_stanford,short,sim2hF_0_13,12.987554333297643,8.347677230834961,0.5415416359901428,8.134603500366211,8.94731330871582,8.277312278747559,3.0170586109161377,0.1427687257528305
encoder_x_ddim,efficientnet_b0,ddim5_cfg0_tts0,ddim,5,0.0,0,go_stanford,short,sim12hF_1_4,13.19837099996827,7.8149895668029785,0.4472420811653137,8.071793556213379,8.85958194732666,8.270988464355469,2.92254900932312,0.14242292940616608
encoder_x_ddim,efficientnet_b0,ddim5_cfg0_tts0,ddim,5,0.0,0,go_stanford,short,sim2hF_0_11,12.533262333363382,6.542974472045898,0.519019365310669,7.648596286773682,8.59465503692627,8.246247291564941,2.1728389263153076,0.10498207807540894
encoder_x_ddim,efficientnet_b0,ddim5_cfg0_tts0,ddim,5,0.0,0,go_stanford,medium,no4vcF_86_0,13.255110333072176,5.022684097290039,0.7016586065292358,7.167999267578125,8.005396842956543,7.557906627655029,2.334611654281616,0.12083635479211807
encoder_x_ddim,efficientnet_b0,ddim5_cfg0_tts0,ddim,5,0.0,0,go_stanford,medium,no5vcF_119_0,12.490266999975574,6.843746185302734,0.513397216796875,8.163004875183105,8.985541343688965,8.359461784362793,3.0105113983154297,0.14250929653644562
encoder_x_ddim,efficientnet_b0,ddim5_cfg0_tts0,ddim,5,0.0,0,go_stanford,medium,no5vcF_64_2,14.865145666893417,6.397066116333008,0.4917868971824646,8.09201717376709,8.945368766784668,8.430533409118652,2.6839332580566406,0.12949948012828827
