config_name,scheduler,num_steps,guidance_scale,num_cases,latency_ms_mean,latency_ms_std,latency_ms_ci95,diversity_mean,diversity_std,diversity_ci95,path_length_mean_mean,path_length_mean_std,path_length_mean_ci95,endpoint_norm_mean_mean,endpoint_norm_mean_std,endpoint_norm_mean_ci95,forward_progress_mean_mean,forward_progress_mean_std,forward_progress_mean_ci95,lateral_abs_mean_mean,lateral_abs_mean_std,lateral_abs_mean_ci95,smoothness_mean_mean,smoothness_mean_std,smoothness_mean_ci95,composite_score
ddim5_w1.0,ddim,5,1.0,24,27.31849497914851,0.6325420533715107,0.2530695276967125,0.27868781114617985,0.13384968429961036,0.053551026698554834,7.927104165156682,1.6666998220275089,0.6668188059979722,8.755202402671179,2.0775120053372076,0.8311779101051255,8.065120513240496,2.405603191327593,0.9624417225860251,2.5033773742616177,1.8868753335243444,0.7549073566451501,0.10638160336141785,0.06443865640621516,0.02578083189127308,4.6562
ddim10_w0.0,ddim,10,0.0,24,27.851564880198982,0.6449076635799685,0.25801680214029493,0.3312273093809684,0.15004865174351575,0.060031963449483895,7.826941251754761,1.6919961242061072,0.6769394346750529,8.65867813428243,2.074027860518633,0.8297839618625321,7.9809548904498415,2.3807691071063664,0.9525060196060448,2.4499438293278217,1.8380211447418995,0.7353616103737668,0.10953572920213143,0.06176593237507208,0.024711519575009156,4.6098
ddim5_w2.0,ddim,5,2.0,24,27.462342984388027,0.44662557958686944,0.17868744675689602,0.2709644107768933,0.14171504057435944,0.05669782458654924,8.028610189755758,1.628767486984747,0.6516427112821523,8.838185449441275,2.0507989837882596,0.8204904756322529,8.09491240978241,2.4355213420039536,0.9744114757761403,2.6195610066254935,1.9305916262950775,0.7723975163984382,0.11020249205951889,0.06844216425373281,0.027382568621188673,4.6019
ddpm10_w0.0,ddpm,10,0.0,24,29.930488421887464,1.5704210587523182,0.628299278293202,0.2536351978778839,0.11613786591070804,0.04646482351184456,7.83197679122289,1.7232399457716023,0.6894395666818908,8.670124381780624,2.1474354464506007,0.8591531128970611,8.017768818885088,2.4539636476512365,0.9817899347338012,2.3968639795978866,1.8735827856853502,0.7495892299125951,0.1009020465426147,0.06195788820973925,0.02478831790352964,4.594
ddim10_w1.0,ddim,10,1.0,24,53.58512696874129,0.9870988462623504,0.394921788175347,0.31778883934020996,0.1514661740998148,0.060599090506564215,7.918567041556041,1.6505039841789442,0.6603391213459519,8.737832854191462,2.039887892501441,0.8161251299546127,8.016751617193222,2.3936967678350975,0.957678161090402,2.5497003669540086,1.886552532739973,0.7547782094341378,0.11121879611164331,0.0647472689544719,0.025904302625609762,4.4659
ddim10_w0.5,ddim,10,0.5,24,52.99590165623632,0.9293690640754702,0.37182506498643486,0.3237258394559224,0.14872804911218923,0.059503612358195186,7.871700654427211,1.6709439522189231,0.66851681171522,8.697976301113764,2.05612525164678,0.8226214265850906,7.999301202595234,2.385672577122403,0.9544678161924047,2.497928765912851,1.864079195810394,0.745787002079269,0.1101029875377814,0.06316622064645705,0.025271751562099674,4.4653
ddim10_w2.0,ddim,10,2.0,24,54.04342297394038,1.2040633589182879,0.48172567173079645,0.30876999348402023,0.1616169936392217,0.06466026413585886,8.018217494090399,1.6133426630737617,0.6454714964496339,8.820102771123251,2.0119634713406223,0.8049530346975375,8.049166038632393,2.4176071443597946,0.9672443040241459,2.6602875677247844,1.9325432984738358,0.7731783478923517,0.11472299927845597,0.06853149450943528,0.027418308166882358,4.4574
ddpm10_w0.5,ddpm,10,0.5,24,54.45946670834445,1.4566703582479823,0.5827895198536394,0.248505724593997,0.1157045866384198,0.04629147570008356,7.876674969991048,1.7038620002093365,0.6816867737963639,8.708483467499414,2.1328036941841932,0.8532991928047944,8.034892652183771,2.462023375747491,0.9850144975463627,2.448342035214106,1.8902260712735195,0.7562479309438856,0.10180001085003217,0.06359120256121953,0.02544177973947592,4.4335
ddpm10_w1.0,ddpm,10,1.0,24,56.13609853645585,1.4132866568440434,0.5654324243601295,0.24403600580990314,0.11694503452187462,0.04678775821335691,7.923396746317546,1.6852962467200123,0.6742589254156376,8.747714112202326,2.118680158526972,0.8476486017031758,8.05097920447588,2.472444582799259,0.9891838487105478,2.504712006698052,1.904423838969013,0.7619282210461722,0.10320784850046039,0.06539539572519106,0.026163607338836728,4.4023
ddpm10_w2.0,ddpm,10,2.0,24,54.22151117188889,0.7868098387747012,0.31478949616792107,0.23685576176891723,0.12214310180208462,0.04886741825260154,8.022333959738413,1.65111719702589,0.6605844575804789,8.829006190101305,2.092325976965022,0.8371047331253203,8.080394388486942,2.500056099854291,1.0002307562526818,2.622570164501667,1.9390348898340435,0.7757755253460425,0.10722383065149188,0.06951019391614618,0.02780986947935673,4.3553
