config_id,case_index,dataset,suite,trajectory,obs_time,goal_time,candidate_k,status,action_ade_m,action_fde_m,progress_error_m,heading_error_rad,minade_k_m,candidate_diversity_m,sampling_seed,sampler_latency_ms,error
ddpm10_cfg0_standard_k8,11,go_stanford,long,no16vc_29_1,89,113,8,valid,0.7857861659372131,1.4012866045783772,1.24164879322052,0.19905619390866125,0.7632794274139485,0.08249201506098151,11011,39.719595999486046,
ddpm10_cfg0_standard_k8,12,go_stanford,long,sim22hF_0_7,81,105,8,valid,0.5055606583569155,0.8358187747972061,0.6932710260152817,0.7872926583469297,0.2828682584526359,0.47352671815827746,11012,39.79993400025705,
ddpm10_cfg0_standard_k8,13,go_stanford,long,no1vcF_18_0,11,35,8,valid,0.42717509190742725,0.6421603534154472,0.6326236128807068,0.36337795129827644,0.2690101750153802,0.11408117770505231,11013,41.30886900020414,
ddpm10_cfg0_standard_k8,14,go_stanford,long,no28vc_17_0,8,32,8,valid,0.714960453975082,1.220463250568113,1.2178330421447754,0.9584018999905348,0.6660550058608024,0.09176268916671163,11014,40.28680600004009,
ddim2_cfg0_standard_k8,0,go_stanford,short,sim9h_0_8,12,20,8,valid,0.8071444630560863,1.4234521138571075,1.4052151441574097,0.2887514827799569,0.7776810751545973,0.06067417091824363,11000,9.035726999172766,
ddim2_cfg0_standard_k8,1,go_stanford,short,no16vc_29_1,97,105,8,valid,0.7690466982908345,1.3869847218635523,1.3298527002334595,0.29288820024378603,0.6824639190323472,0.11672158856358375,11001,9.041195999998308,
ddim2_cfg0_standard_k8,2,go_stanford,short,sim22hF_0_7,93,101,8,valid,0.7209086280911999,1.3676723023124298,1.1917478442192078,1.4270115297141066,0.586390190851937,0.163373081092037,11002,9.15327700022317,
ddim2_cfg0_standard_k8,3,go_stanford,short,no1vcF_18_0,15,23,8,valid,0.383520783863405,0.6547038534122576,0.5697505474090576,0.23649154524050253,0.31710288946484977,0.09847275104502769,11003,9.994934000133071,
ddim2_cfg0_standard_k8,4,go_stanford,short,no28vc_17_0,16,24,8,valid,0.3268624675748716,0.5107958831627197,0.23469517938792706,0.09706853477998001,0.1820488572363199,0.20505927637814222,11004,8.176932999958808,
ddim2_cfg0_standard_k8,5,go_stanford,medium,sim9h_0_8,10,26,8,valid,0.8220046119018496,1.4778558447277723,1.4658010005950928,0.2535312141048536,0.7809724348337075,0.07181320926014176,11005,9.077510000679467,
ddim2_cfg0_standard_k8,6,go_stanford,medium,no16vc_29_1,93,109,8,valid,0.6531049999313003,1.1539406464259927,1.0225589275360107,0.059583121745562906,0.6139484144409528,0.05989419662496238,11006,12.137112000345951,
ddim2_cfg0_standard_k8,7,go_stanford,medium,sim22hF_0_7,87,103,8,valid,0.6387594045082441,1.0479007996881367,1.037434697151184,0.04842750962563036,0.5433117744283926,0.21390687942229855,11007,8.17111800006387,
ddim2_cfg0_standard_k8,8,go_stanford,medium,no1vcF_18_0,13,29,8,valid,0.4866037121139833,0.792550345922612,0.7872194349765778,0.31535578242606777,0.398734333249672,0.08428423074214064,11008,9.451150000131747,
ddim2_cfg0_standard_k8,9,go_stanford,medium,no28vc_17_0,12,28,8,valid,0.21105341342840905,0.3201324629207459,0.07201112806797028,0.5734095721417658,0.1355836282174387,0.22878659659689418,11009,9.323229999608884,
ddim2_cfg0_standard_k8,10,go_stanford,long,sim9h_0_8,8,32,8,valid,0.7402949280794934,1.3142065683570021,1.3048735857009888,0.36743386793954436,0.6482148074321303,0.2199131498254849,11010,8.650058999592147,
